Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Class,QC,QC,QC,Blank,QC,QC,QC,Class 3,Class 1,Class 2,Class 1,Class 3,Class 3,QC,Class 4,Class 2,Class 4,Class 3,Class 4,Class 4,QC,Class 1,Class 1,Class 1,Class 1,Class 2,Class 2,QC,Class 3,Class 3,Class 4,Class 4,Class 2,Class 2,QC,QC,Blank
538,135366992,135384669,134353180,NaN,135886652,132671493,138403215,253555346,75472971,161982375,78343298,70137155,123710585,133845837,87434158,63208687,213542242,39463035,48527199,188552281,145996910,172044310,115003218,98497053,97389855,234539975,279242868,140488628,260038255,173196644,186526510,201925240,66421308,125165663,150282354,139844142,NaN
539,695053251,715666822,697691472,1187890,707916188,671350114,704545815,833814565,781211865,496259174,418878659,643817954,696973713,675186978,833344732,246396647,981099905,404605149,392275045,629412192,713956527,602698567,768025984,543448694,761572199,879561008,1767114666,683222511,718811072,1214247665,705874873,761994155,542463082,1115551021,741241029,704610084,1891845
540,1416038,946640,871255,NaN,1120664,1075820,990534,1349939,574033,847621,NaN,1153094,496246,975917,1336622,826203,1510045,NaN,536165,1206875,1299482,1507375,577728,1515565,1627896,1285951,1176781,1028079,1373412,1522759,898258,1551052,928175,1315819,1339513,1397328,NaN
541,14217756,14714804,14653626,NaN,14271702,13729533,15327046,13853160,12346353,15331633,8381547,16014446,18879227,13199810,11486941,9415359,11792146,10050408,8236069,8593464,14659957,8829738,12466690,11115730,24188252,12535810,17878302,13155409,14967442,10835679,11253583,12280897,11194958,15888920,13379437,12971768,NaN
542,12901901,13831561,13333456,NaN,15360928,14502362,15384326,15726203,10164546,12776051,26360057,34669542,15478779,14456184,13708891,14138661,11514686,11881150,12872782,18034459,17501986,12277442,28637835,11692160,18130172,13713280,35033191,14511470,20918995,26986256,14702118,11224736,11946403,24153139,18530345,13278607,NaN
543,13142843,10593051,12809377,27154017,11801082,14109210,11820748,35615177,38563177,16745529,25319379,33925281,46550817,14345759,14258923,19533715,32080412,10998232,19312927,29797844,12515130,4172715,17730309,9591704,24182278,13341580,33750339,14634587,33642346,31849629,22684742,30677742,15067825,23351882,13208667,15189921,28180024
544,10787683,12410807,12208580,680856,12088252,13047273,11568087,27129331,5526082,7114842,5515335,4974360,6153514,12300575,5802264,8081840,16099985,9034435,10060834,18756289,11414547,15103988,NaN,11907621,16262267,25785696,5479733,12562986,7279559,7857604,14704105,8881140,9675516,5582437,10242418,11100918,534509
545,14393778,14450889,13727501,NaN,15196884,14167312,14210266,27622360,8110011,18315131,7285625,9335472,16535504,14485886,12206200,6244369,22277724,1729958,4458207,19358250,15524178,17818365,15084888,10924654,9644855,23761101,31625324,14679569,28595376,18650464,18458691,21817575,8518667,12592384,16328269,15868827,NaN
546,3099066,3043709,3146710,NaN,2990613,3065054,3078499,3825811,5738765,7593816,4559469,NaN,3585858,3051473,4144215,2755078,9373162,NaN,3306609,3897403,2586677,3633133,NaN,NaN,6440196,9790156,NaN,2926470,NaN,4514188,7093498,7894353,5497180,4979681,NaN,2957978,1556345
547,6058506,6324770,6029010,660165,34096971,6600955,5736284,4511893,10127414,12579954,6469432,2624922,9707226,6086130,9871798,8259206,3619942,3368308,3542271,5124255,6137331,2555120,7841906,6844198,4271137,8039731,70963582,6271028,3742045,4319393,9820534,3541773,3627139,11808081,7147694,6851421,840789
548,66267709,68516898,66943662,NaN,68364114,63456401,67235772,80122051,74999088,48244572,38814718,60143729,67037906,63108727,78963597,22618405,91829082,39513875,37796869,58487100,68849103,58302278,73195962,50889412,72248709,84549944,167577769,64953806,67394625,113268487,67982647,72378557,51184680,106017879,70124267,66993763,NaN
549,2554213,2504539,2783076,NaN,2648013,2679760,2720375,3669929,2629491,2397864,2816179,2174764,2769210,2796870,3173472,2182583,3180322,1904057,2421156,3965865,2578493,2824013,1927936,2090910,1376564,3595132,2443382,2701208,2455223,2451187,2848171,3471064,2211722,2956746,2645402,2510555,NaN
550,3781370,3544012,3697182,3174086,3574890,3458337,3991042,4966053,3248024,2064055,4633900,2128188,2359981,3941056,4977226,2978196,4097393,3697813,4713457,9729812,4217118,3015960,5487199,3468842,4111128,6380470,3840644,4260697,3218186,2928058,4493092,5022656,3946782,2533663,4312576,4441258,3047821
551,11262774,11486277,11373194,NaN,11361061,11415171,11501588,12035184,9184186,9463026,10214800,7151683,8889421,11647439,10036771,9808349,11221827,8269635,10458186,16032282,12089030,11160718,16583135,11247723,13065203,17417396,12076454,12243586,15511324,14917198,15581617,10233905,12439138,12510909,12918266,12108304,NaN
552,3823756,3808072,3673960,NaN,4394169,3599841,4321112,6313907,4109013,3123262,10256122,6946763,3326493,4519680,6016462,4623084,4108541,5011073,3585909,5343741,5352085,3541594,8332597,3172885,1888483,3439021,5168295,3762741,6900048,8100670,4143014,3607017,6255602,6151220,6485098,3936528,NaN
553,5630921,5229275,5589627,NaN,5504428,5838905,5590387,3689308,4694840,6805149,NaN,3540159,5245594,5569814,10640897,8965908,5985801,4200882,NaN,5106753,5348624,3529166,NaN,5063299,5292317,7048186,11472161,5245353,NaN,NaN,7801145,7492779,NaN,NaN,4925037,5213850,NaN
554,26424738,26208662,25280856,NaN,27416714,27422095,24931723,25380919,31331901,30668707,37022081,24121029,25696484,25972197,29846083,25958770,21422520,23839028,27696241,22966496,28065647,22986760,35885242,32146257,26079736,27353057,37480207,26776363,31156503,31917805,23024716,22577118,33470115,41910876,28227865,27202935,NaN
555,23995282,23525351,23728276,NaN,23410164,21795575,23339441,23820321,17805418,16952894,40824845,33338982,18703681,21585707,19113079,23254299,22568752,16613632,20695027,30681983,23975925,20989090,26732305,14756308,34338818,22743620,35917223,21955567,35561644,33445984,24856166,21961641,21951961,25552262,25092818,23337786,NaN
556,87528554,93503719,86857213,18895214,98302595,87204620,101595465,80537285,234930067,24224510,53545998,364112952,83268358,90665490,174168217,93224330,95184450,180508652,33051752,29458519,107945835,394328925,130591564,89697293,61438386,15109314,297844208,95420474,61217326,119224284,36055158,61070473,64576503,113440120,116351536,96425186,9583839
557,2127904,1336346,2382296,NaN,2395418,1126843,2419071,2733242,2739872,NaN,NaN,NaN,NaN,2453332,2599476,NaN,2940407,NaN,NaN,1191704,2362245,NaN,NaN,NaN,2312419,4336936,NaN,2286734,NaN,1664147,1362601,NaN,NaN,1995704,1423327,2626372,NaN
558,612115,583361,NaN,NaN,541178,NaN,424594,NaN,746514,875259,NaN,925415,1078338,620436,NaN,NaN,NaN,962779,539773,NaN,602481,NaN,1064412,NaN,NaN,NaN,NaN,NaN,968833,822772,774147,NaN,529658,1089652,585752,661982,117258
559,2329066,1500439,1904681,NaN,1658484,1692462,1149372,1149688,1397462,NaN,2069118,1738449,1375146,1729306,1474979,1670114,NaN,2375059,1293458,1140003,1500128,1036685,NaN,1505113,3454689,1177509,NaN,1386868,3266660,3456323,1726804,NaN,1358416,2568777,1576719,2052920,NaN
560,83768030,85252633,81404311,8356794,77501563,78427450,77979405,74939330,77129772,78278959,87234673,95242287,54507376,83179080,60073153,71180256,71611021,70515870,58426430,77351049,80444390,64736727,81106564,65347972,89081815,85239080,102007754,83956946,102872795,96083516,74831520,73104439,84950911,90709751,85197216,81037552,8936096
561,29008937,31119055,30098057,449210,32680225,31942557,32212995,29237197,26779132,22195557,40171716,26436318,17822219,31737648,20402834,31043302,25837966,10120940,31609971,27565137,31199892,23227541,24294406,21959613,37190746,35176674,27827852,30026050,31148596,14807534,24287144,18761811,16803443,11536720,32753565,31717342,NaN
562,12877661,13599483,13068660,NaN,15231112,14712228,14983533,16081407,10065470,12935752,25800236,34643877,15495922,14769446,13964124,14067776,11402883,12016090,13088328,17716318,17312378,12321853,28644318,11334881,18472306,13611694,34889641,14554704,20186584,27257247,14379663,11385657,11609743,24147933,18606457,13229017,NaN
563,915737,945124,903846,2402255,842252,1036346,893680,2807118,1105762,1076211,527593,NaN,791498,1094048,818642,773583,1074718,322263,356964,874296,766052,NaN,576115,515502,2557538,1271241,NaN,959353,815235,NaN,1050460,819589,NaN,NaN,986318,911675,3056705
564,1034745751,1000041195,962224461,1834467,924832925,927142372,939447753,1699713558,625890830,687353327,569524114,395415537,650876425,965449942,610798787,667059474,780355115,523313598,741896349,970811485,937440699,1229222956,1243025052,1047949633,706913428,1242346445,879028742,1050053033,1499992875,1095009531,1530794661,1052065598,777813121,691871404,944606730,995191628,1682932
565,9044124,9792103,9146604,1267471,9802419,9181458,10405166,8672758,24567356,2311797,13844153,71326011,8695650,9566652,18372335,9663824,9735698,19248472,3300201,2851942,11176888,42764990,17936461,9413996,6352318,788592,57434983,10069710,10471174,22309182,3585409,6180127,6632089,17377315,11769205,10119720,3693937
566,161543962,151446833,145987926,NaN,136921059,136720686,143948978,287214592,76430944,88879640,52491536,38170699,83605070,147411722,72844235,89273293,115203980,66952763,102379032,149188906,144510219,202196031,184657786,158053942,94212536,201911425,124435858,162819118,247194550,168761845,253295102,165987860,107256008,78225901,142888293,148151559,NaN
567,3124245,3067617,2179219,NaN,2354044,2337006,1978361,NaN,NaN,2255553,4185561,2737491,1267332,3128732,NaN,2068127,3040025,1182691,2481303,2594386,2417592,2363660,1738100,1822276,3042761,2761981,2508556,NaN,3136423,3732444,2867057,1554485,2729968,2536522,2334633,2189746,NaN
568,143208979,148176443,145472650,NaN,156518575,155813095,158822111,116973312,100167033,90351684,55122393,81369588,110071325,150623593,175206235,127405749,133502975,176781893,172643349,128506605,170459517,181604494,109162923,222788356,183109748,121179744,107927380,155256638,226924076,86093451,127404190,114219121,111662742,89853329,185756156,147729743,NaN
569,11379258,11484540,11021183,21733700,10368924,10700963,10402910,9967399,10517582,10922514,10322173,12837991,6958987,11367019,7995107,9779520,9298870,8827649,7117812,10020130,10617911,8645194,10142458,8386908,11758933,11443586,13934766,11828018,13631461,12653850,9972087,9891414,12001866,12499526,11149969,11482993,1182282
570,1615071,2059722,1987477,NaN,1925552,2170937,1741439,2391422,NaN,1566819,NaN,3139723,2296944,1741938,1347191,1457616,3340367,NaN,NaN,2938986,1888639,3118071,NaN,1541137,3480291,3351185,3057208,2114787,2370961,3223178,1650135,2735855,NaN,2052499,2072387,1927080,NaN
571,3910407,4078272,2117346,992082,2047166,2076270,2023478,NaN,1890333,1753024,NaN,NaN,2546727,1992881,3434019,2033213,4499740,NaN,NaN,7717080,2057984,6801505,NaN,1515511,NaN,12577551,2322737,3622501,NaN,NaN,5385642,1811997,1811159,NaN,2061446,2048656,NaN
572,9299854,11032508,9250961,827797,11418216,9545165,11987497,19796148,3051000,9959151,41509651,57630649,7803975,9054900,7790402,12457310,4339949,13505833,5654894,11708879,14958011,5493564,84477677,5000876,13722588,5047766,61898098,10190430,17464619,64315780,3507756,7587694,10682891,46081333,16591662,10145873,834121
573,279685480,290733886,276949315,NaN,289823242,285325585,293805934,289261283,336894664,329190208,419190314,269534886,296248910,281241945,331155330,276618588,221089957,240950241,273000848,255588367,302758777,244163280,373981632,331447423,263034404,255623124,364147719,277579749,307410791,328930300,248465303,231307901,332786035,408995512,300541586,285493929,NaN
574,103555440,82170954,77615560,973217,74971489,75483917,74295739,90109062,96685612,76651031,98061486,108791165,57925740,85644762,56350670,65712306,60284236,69282262,6548580,77090797,83183704,69208317,91474148,62096689,88069861,77952991,155859709,96583226,109996178,126795125,91837025,87475880,92222514,93849195,79505390,75064060,1479085
575,1962305,1975472,1795358,NaN,1923637,1724438,1990300,2035817,1542199,1435828,1086755,NaN,1999050,1722209,NaN,1607400,1750633,922578,1560436,2937108,1699764,2103281,8833514,NaN,2165208,2077244,2518415,1715709,2571323,2171396,1521089,1823091,1114975,1247123,1523937,1640118,NaN
576,NaN,11061093,10884473,NaN,12033097,11916884,12056031,NaN,NaN,8003891,NaN,13755947,10003608,11675623,12619678,10264357,10146562,12127457,12670915,11940068,13243541,12454080,13476785,14214666,14520078,9898055,NaN,11912743,9567702,NaN,10365991,NaN,NaN,10342262,14698435,11251242,NaN
577,297403127,287676096,296771827,NaN,291701890,294287214,296542256,320592157,286395518,263079894,433858975,318633283,207807859,292016177,241749617,250957850,261683607,217986123,311427981,361844147,299106454,308806866,352158785,294566431,381569735,367720007,368204635,302354632,371522090,393591636,331898051,246529668,247845944,383072774,322952581,304524736,NaN
578,3765875,4792905,3699250,2969143,4265396,3282207,4594156,3573633,6443877,4016556,6880232,4773228,6520192,3304775,8875576,3232521,7482622,3207439,4184133,9479984,4443066,3003652,4510301,5807131,4020626,5870331,NaN,3420307,3587113,NaN,5696241,6853612,5366528,5649497,4391813,3262146,1639673
579,6421402,6526230,6238356,NaN,6636346,6836792,6884227,5012044,4294480,3858510,4399683,5612951,4614079,6687795,7684903,5344320,5707393,7728503,7614969,5324615,7150272,7892534,4606797,9574765,8160607,5120818,4712109,6506191,9929716,3529011,5353087,4698573,4722590,3433756,8146252,6462450,NaN
580,1484926,1403928,1485332,NaN,1507621,1435157,1464248,2295872,752815,1138099,2910702,1854545,1321098,1454839,NaN,1433700,1168868,838895,1355372,1692440,1522388,1184757,2193702,1640888,2528578,1468326,2160394,1443593,2143736,2437872,1402854,1409306,991724,3791594,1676044,1492088,NaN
581,NaN,1026478,939616,NaN,1019998,933465,882500,1000134,NaN,899986,1636662,NaN,NaN,790258,NaN,955831,NaN,NaN,NaN,872562,827371,NaN,NaN,NaN,NaN,NaN,NaN,962459,1317377,1420545,987842,NaN,921004,NaN,1131695,1055305,NaN
582,33600685,29205026,29541224,3195531,27435607,27594880,27063059,29648957,31107592,28373451,29852982,22776105,21121593,27549950,20832987,25251187,21876282,24362280,18134027,28120928,29698582,23710847,28130973,21838910,30891285,27754227,46612100,31938752,37253696,39758177,30436336,29537945,30394441,31938428,28481764,27053728,3717777
583,21984998,22066028,23759045,484812,23372271,26101362,25944132,24070523,14709507,26259247,9140407,20198335,25738940,24244695,28110181,35384233,18889472,28609384,14689326,26434738,24128820,31022967,13604260,20033998,6811180,12593843,7623644,23613664,9608817,13636132,16085717,26854047,23134119,14028679,25126452,19047341,885556
584,29609791,29558696,29666442,NaN,31567592,31883549,31222541,26434274,33981046,30823854,44606676,28922076,27914753,30438392,34327958,30580727,32208162,24651104,36667748,37965136,34092880,23218380,43978176,32241481,21760209,31875099,45261738,30197750,36914731,34508148,32084581,26148811,26664230,51344117,36124709,28856880,NaN
585,134099852,136791434,134225204,1334911,143576709,134244118,142890187,203854086,132926219,126834764,95560858,64708192,121409656,132365478,124831093,134920583,116106618,154154787,82196168,134869681,154658645,103142640,90921383,161585440,122329518,161381498,98756533,138984444,168687912,124046656,148478629,132017682,136631221,155745744,165185800,136707993,1628072
586,10142745,10168388,10621753,NaN,10192540,10774794,10455993,9704197,11828615,10521901,NaN,6319328,10279717,10691284,9305910,10859457,10001651,10677283,10462780,8506890,9900719,9088903,7190299,10818224,8695894,9996236,6003380,10352520,8310380,6768584,9745405,9810264,10778762,8915843,9739976,10221480,NaN
587,4672261,7830185,7881545,9658294,7420576,7533181,7727912,8441094,14635531,7081560,16807817,18346977,7737613,7784474,13971057,13023226,9463399,6953420,4162294,15094279,7381815,10663543,19129071,13992595,9087239,13691746,18367264,4911106,23785149,19234257,13107190,13072372,4392797,17021424,8039319,4578648,7518637
588,23166497,21303462,21161846,NaN,19924210,22775368,22417824,23710448,20358673,19272165,32424058,23793560,15004310,21812814,18115149,19238959,18977703,14742703,23050179,26763664,22169628,22458470,26002545,21685718,27790456,26766482,26867341,21912158,26929455,30293019,26515806,18124159,17779436,27965134,24340272,22686786,NaN
589,1157407,1201833,1210242,NaN,1294296,1138372,1211297,NaN,3222596,NaN,NaN,NaN,1374666,1222064,3121856,1347160,NaN,4440849,714384,NaN,1272885,NaN,3088320,1977054,NaN,NaN,NaN,1171762,NaN,912871,NaN,587373,1385722,2484875,1188404,1182804,NaN
590,NaN,NaN,NaN,2641978,843459,378035,NaN,1273427,NaN,NaN,643859,3581599,914387,703272,NaN,NaN,703691,NaN,635000,1735251,746346,NaN,NaN,NaN,NaN,NaN,NaN,735045,938188,1547142,NaN,1268506,818020,673379,380957,858079,3006218
591,1814337,NaN,1683218,NaN,2757556,NaN,1973509,2295633,NaN,1478257,7893232,3088563,NaN,2123139,NaN,2029167,1707056,1437437,1619204,NaN,3244414,2236428,12164587,NaN,4186888,NaN,3719851,2303985,7514226,8980615,1429684,2082903,2499953,8604340,2695955,2399257,NaN
592,29840635,23226369,22361985,NaN,21577392,21867395,21517103,25443118,26960272,21588904,27440691,31468574,16610458,25322967,15608922,18544906,17513778,19927769,14802383,22509297,23663794,20541369,26965377,18118237,25075419,23408384,45606064,28597393,31468774,36763882,26451911,25443321,25923387,26918437,23248969,21043822,NaN
593,24777559,24614289,24902261,NaN,26134206,25039241,25311965,31906829,23413683,21650951,33712873,24913919,23497858,22970134,22366482,20357767,22980602,19500336,21891412,31128174,26221842,24517678,32903240,22302924,29511776,30115098,37821895,26525727,34380924,34720823,28482367,23827262,25741671,34299362,27989613,26013594,NaN
594,4063094,3136313,3791330,NaN,3321457,NaN,2947764,2865430,2671519,2731203,NaN,NaN,3813125,2981220,3585356,2679007,2149620,2067070,NaN,2411901,2842142,2617146,NaN,2466179,3982773,2237768,1813481,2615139,NaN,NaN,2448315,2677107,2445477,2317671,3152528,2698046,NaN
595,5682118,6152455,5518193,5368740,5339623,4670714,5518559,4949449,5964978,3401842,9941620,6796008,5043666,4674338,4668469,5882513,5148279,4015136,4137419,6361674,5165461,6628752,7348639,3708738,6851947,5732184,12236451,4545530,10873981,8623793,4925536,7642407,5736908,8381820,5591538,4854551,3256999
596,12954349,13675165,13601665,NaN,13629909,12730631,13918872,19314049,12645783,11803943,8149120,6089508,11652312,12511945,12210519,12829901,10882101,14534318,7660347,12941541,14757408,9870961,7846589,15268777,11643172,15567196,8778458,13208136,15913591,11483270,14110435,13215541,13257388,14884548,15197155,12915584,NaN
597,5713290,5277301,4787019,NaN,4226788,4139511,5467257,10020307,1667256,3013931,1346049,1828057,2779534,4866847,2502411,2284892,3955159,2035875,2753725,3896147,5162465,6631614,3813333,5636188,2527597,6951008,3329125,5232435,8097432,4713232,8454225,5738427,3164184,1308100,4672482,4271926,NaN
598,875469,1025785,684221,754964,1098699,803365,1044004,700795,958652,NaN,2488813,1861232,1254732,808952,1647446,851137,1059752,807655,815099,1411798,1151188,NaN,2060097,1813180,890476,1044229,881752,729697,708083,841173,934710,1141174,1163575,1328932,1222473,777149,706889
599,7264100,7509761,7614029,NaN,8425281,7859246,8350184,7900330,9832708,9287957,9769125,13983067,11079033,8352035,10610307,7179682,8868269,9988794,8535038,11577213,9157576,6588074,14853937,9113746,6680297,7746073,11966288,9615454,NaN,NaN,9454440,9659006,9603688,15521354,10733495,10196435,NaN
600,2402146,2282003,NaN,1253392,6922318,6936431,2361649,3367456,1248992,1832605,5497061,3247583,NaN,2312623,5908780,923068,3846674,NaN,3693443,2802104,2604672,3979050,1699716,2642068,3768811,4839905,7384228,NaN,4088194,6448860,2635355,3074192,NaN,2487803,2512182,2329810,1613467
601,133204624,137991647,137229915,NaN,146224352,140647301,145464906,176153682,125524528,135718457,182947263,184642396,146400634,145110635,151048889,98482835,150959555,74960975,145272541,135240704,141615128,131571493,214292373,127925963,154546333,123946842,274390109,134636973,205933833,173473692,131568322,137492004,151070531,148519239,148461032,141092540,NaN
602,23398977,23568611,23851901,1893494,22933034,23317285,24400570,23374272,15457319,13070161,28871327,20907946,16741239,23288134,19484301,23323623,28171764,18405630,27857842,34229870,24750064,28217392,21225870,17123755,30501578,23610584,21347384,23748332,27101007,19248003,29679960,36923499,22993948,17877088,23319214,24347592,1639448
603,1899355971,1527278716,1457765432,NaN,1676893795,1688090195,1714624981,2589570686,1267189000,1527591800,1091549985,2853400398,977070333,1807829549,1828953601,1083144473,2631956619,336453648,793093308,2519136983,2124118268,2668222568,1950541267,1971882207,3206703995,2535587642,5965572859,2140820998,4019478063,5065115755,2115085021,2533876335,1817808933,3073954772,2332434544,2173859425,NaN
604,6944602,6500666,7353606,NaN,7493760,7085610,5910649,5634692,6269078,5386314,4325498,5068961,5692404,6674175,6208395,9268188,5851026,8972616,8084073,6576781,6293692,7470630,4985901,6845376,5574686,5376562,1744200,6897239,4840689,3698207,7199290,7097284,7838694,3858763,5591516,6641735,NaN
605,12035614,12540969,12286292,NaN,12576095,12460424,12409450,13405263,16634400,9813464,23109161,15005827,8049311,12364700,12633807,12081799,9174896,9018111,16678530,14989437,12914523,9983155,10356178,8723615,16302393,14576264,10843693,12457537,15043251,15672844,14578752,9977886,5529412,20318831,14037437,11728626,NaN
606,20529076,20836516,20432425,NaN,19916436,19412882,20062930,22311162,19441030,15928177,40038354,24897799,15320896,19440968,16148834,27878224,16289223,17738028,28703380,21201247,20886279,12047473,23735101,18903693,25878222,21397184,25006439,20364662,24530395,18990020,18507953,16880220,25879216,18152213,19931379,21954559,NaN
607,12075072,12906596,11995358,3661752,11909827,11332506,13362188,9707866,11449134,14165563,23446316,13032738,11127116,12341411,15027734,11258586,14755065,11743507,11677530,27190516,13291797,3984639,15089736,10120143,15685282,23971525,14129628,12471394,23353343,14613153,19885067,15095825,7453681,12784740,13116912,11037650,NaN
608,52113415,49974071,51504210,NaN,54360881,51442298,53844683,57400157,4099552,6147439,11609082,571423113,17017176,51790683,9512066,2187936,4072195,4791953,6274957,85005397,54495307,3766143,18971394,8541714,230728422,67302911,37571176,50580496,125414459,7415975,70108918,32493787,8406854,9674037,57442651,53178082,NaN
609,4594005,NaN,4885646,79815946,4751329,4923433,4754930,3152660,4976083,6224982,NaN,NaN,5087821,4904918,4560891,6628103,2827659,7105962,6957791,2542352,4520233,2466349,NaN,5389438,2591838,4138732,NaN,4818708,NaN,NaN,3111719,2535117,5068525,NaN,4386153,4940885,49839467
610,NaN,NaN,917826,NaN,2059169,2259507,1440877,2916525,1044494,NaN,NaN,62935206,858194,1333540,2232463,937389,NaN,1152942,NaN,530852,2444940,3643051,1575437,2481714,NaN,NaN,7577096,3127717,NaN,6185071,NaN,3319173,2085749,NaN,2652564,NaN,NaN
611,774105,NaN,891124,NaN,NaN,860735,845362,1472909,809277,823507,NaN,1390545,NaN,NaN,NaN,666828,776887,NaN,NaN,NaN,1012639,NaN,650961,NaN,1329061,990927,2852940,951860,1411254,1509574,NaN,860095,866880,2127042,889919,944719,NaN
612,13510606,8224469,7880277,35677129,8383951,8660896,8816730,14554054,11357474,7408268,16699275,16519510,6517335,13880015,9079767,9748302,13503800,6083307,12346613,12567480,10704355,11838633,10752737,8875961,15341542,15610588,22472277,15891364,17190391,19103989,13454267,9884182,14019970,12480611,11555552,10351596,50582961
613,33159789,30328678,30222496,NaN,31492751,29834424,31231166,29732128,31033400,32577601,32692181,32067898,29858228,30336224,31577435,30056431,29622875,31030345,28805284,29233323,30237770,32439943,34800471,29534347,26853939,30077613,31725863,26721467,31023669,33079155,28048809,27428092,31941536,27438842,28579372,29088519,NaN
614,102106686,83680137,79207849,NaN,90280424,90162917,91354386,138945860,66601319,80549489,57799414,151188439,52482569,96181259,97809334,58029892,139535550,17316695,43095547,135283268,114017991,146604460,105037140,105722688,173795947,137281047,320471289,114991212,217126105,272103967,112472852,135639057,98267434,165286835,125381838,115877626,NaN
615,13151150,13944593,13945380,NaN,14568543,14138479,14427863,10760731,6507465,8957212,9235315,NaN,8923028,14815949,8122487,5772751,7970099,3752279,7489742,13921695,14002541,6489913,12226182,6415534,8595104,6573537,13995116,14130826,10363187,NaN,6166620,6839248,8347681,7606052,14905377,14666309,NaN
616,4312246,4379039,4672772,1759398,4251665,4220477,4192017,12535238,2619879,2596923,3517644,3500062,2595379,4053092,NaN,1424701,10935243,1556025,1133054,9056504,4259392,10560561,2724858,NaN,10765091,15298776,8126094,4136947,6576699,7297067,5938554,6533222,NaN,2906867,3508776,3444684,NaN
617,45347529,45219598,45306219,NaN,44916525,45058707,47527025,60314451,27675508,31951694,36637049,31741039,47178136,44297811,36665485,30441324,40669390,28831572,36592142,53695291,47310333,56016102,62030141,42817289,48138680,68338783,57268730,50191002,71036478,57487304,54067402,42816729,33114391,41012460,47281117,47791094,NaN
618,3013394,1913289,1837805,NaN,2156812,2411980,3443354,4902877,3984188,3767335,3559459,NaN,NaN,3517763,3837197,2387061,2895092,2094533,1856511,2898030,3398677,3353395,4294147,4056161,3016576,3346855,5720596,3508435,4002212,4731681,2216391,2404643,3038310,5667665,3286517,3482573,NaN
619,3145336,3343536,3211493,5519007,3044681,3314251,3726181,4667058,3525954,3390930,6125045,8261476,4877150,3462746,3751583,4263834,4033692,2089920,6460360,7418690,4406731,NaN,3524311,855618,5562785,7101196,5710838,4745404,3975690,4809352,3352030,3605016,2917898,5125540,3223742,3183217,NaN
620,981086,885860,935454,8806173,972106,936555,796331,3350626,486396,1226747,3181640,2293590,3563097,1090587,2717552,876229,3610102,1715721,1915640,4021399,913489,2082324,2426921,1406071,2566641,791464,3367849,922081,1763283,1668770,1445397,1913100,478473,2555518,912165,948634,6938995
621,4711292,4702807,4500100,NaN,4758635,4831794,4783745,5221346,NaN,NaN,NaN,55342356,1348847,4823330,782909,NaN,NaN,295704,344945,7802390,5084260,NaN,1454862,641762,21987774,6536941,3232105,4639184,11502944,446061,6155956,3049470,634464,599890,5328147,4873996,NaN
622,7273079,6807687,7061482,NaN,7804435,7498450,8346008,10578289,4677850,5573951,6589660,4436574,5026587,6936814,4621551,5520807,7240847,4604350,6448543,9661941,7718230,10023836,7384712,6578731,9003792,11910129,8662884,8529971,11659896,9399557,9375499,7493767,5238863,6158064,7776825,8077090,NaN
623,71055025,75087623,71336871,997795,76022351,70177177,79758954,78573788,66321652,74403336,257873289,258201043,72380092,73430904,69602484,63456355,70017179,65561263,69518584,86273343,85421915,66756513,257680054,62629199,109626909,82168027,309827793,77888982,149183709,233330363,78595694,74246079,67330886,190759181,100250076,79598210,1126265
624,831402,967721,958017,NaN,1100640,961196,1059701,1042594,1137529,1110080,1842545,1859151,1176392,1151876,1075416,1150963,1268753,1146468,1283581,1372982,1454805,1052183,2062941,1335493,1843374,1394100,2132989,1458137,1893658,2354963,1386343,1371583,1413926,2026223,1656312,1449831,NaN
625,616555,490772,NaN,NaN,NaN,NaN,NaN,478037,528391,NaN,1035544,NaN,NaN,586978,NaN,485897,NaN,NaN,512085,606903,923814,584440,NaN,1573130,NaN,914284,1232085,536399,1363831,866335,652478,487897,NaN,NaN,606461,593237,2630541
626,15407537,12055731,11792666,NaN,13536180,13583346,13479760,20908104,9756785,11893538,8482010,23472406,7747582,14186979,15124521,8670243,21359403,9881328,6888306,20070736,17293749,21892414,16431586,15753330,26043813,20610767,50178109,17483381,34914549,42220960,16674310,20613912,15286592,23929930,18844883,17306269,NaN
627,765970,989856,2442810,NaN,762217,2602436,2741661,2871072,1778626,2381426,4676211,13725829,2316632,2566662,NaN,1060149,2832924,1044172,495114,2628595,681396,841227,5122538,497842,3265185,2787581,4623910,2920543,3737644,2907205,2964410,853917,2700445,NaN,503641,2811002,NaN
628,901114,1052203,1034323,1591467,1031476,979385,1057325,867727,NaN,2292104,828460,NaN,2644001,1014610,1447613,1448334,1413836,NaN,1091127,1618635,979442,1061832,548848,NaN,1415576,1305293,NaN,1011723,786887,NaN,1073274,1777443,938482,NaN,928093,1006220,725673
629,11961500,11589684,11641616,NaN,11590714,10832991,11351566,8228393,8918016,11624927,11056998,6384677,10929318,11436923,12305137,15849723,10222422,12575310,17569426,10757758,10962400,9598548,6543261,11593270,14337263,5517191,4106380,10993914,5316294,5385061,7757040,10386682,18927675,4487632,8344467,12180471,807127
