"Sample","Filter","Filter","Filter","Filter","Filter","Filter","Filter"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"Class","Blank Contribution","Sample Variability","Sample Count","QC Count","QC RSD","LOQ Ratio Low","LOQ Ratio High","Blank","QC","QC","QC","Class 3","Class 1","Class 2","Class 1","Class 3","Class 3","QC","Class 4","Class 2","Class 4","Class 3","Class 4","Class 4","QC","Class 1","Class 1","Class 1","Class 1","Class 2","Class 2","QC","Class 3","Class 3","Class 4","Class 4","Class 2","Class 2","QC","QC","Blank"
"31","Kept","Removed","Removed","Kept","Removed","Kept","Kept","NaN","2715116","1396298","2710567","NaN","2447133","1967649","3277597","2077530","NaN","2785980","2370127","2598138","NaN","2032421","NaN","2585128","NaN","1533818","3126174","810484","NaN","1186702","3432325","2146633","2809869","NaN","2501976","1839764","2728615","NaN","3002865","1745565","NaN"
"35","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 4464805"," 7014902"," 5832394"," 7630074"," 5538834"," 7459746"," 7600537","15589190","15411911"," 8643461"," 6388163","14073119","10531478","10321496"," 8273394"," 6410661","11856818"," 7547397"," 2583597","13632170"," 8153306","10330889"," 7859031"," 9950299"," 6104355","10802977","10277589"," 7415747"," 8839644"," 8400049","10274483"," 7843858"," 6361977"," 2502782"
"36","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 10163966","108032111","106305584","109960523","109127027","105006090","109198749","127219449","135219257"," 72747700","120786899"," 85306733","102336003","101313592","105491842"," 89623946","117447014","118444632"," 94107604","123329386"," 96533844","132651188","130219975","141955963","121913326","153466354","138005831","107493209","103781811","125263015","135903343","123070524","116961860"," 12368037"
"38","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","2647596","2546581","2516389","NaN","NaN","2853480","NaN","NaN","3681109","2571770","2665173","NaN","NaN","NaN","NaN","NaN","2491781","NaN","3066966","2260134","4380314","NaN","NaN","2725078","NaN","NaN","NaN","2776989","2497435","NaN","2684622","2759228","NaN"
"41","Removed","Kept","Kept","Kept","Kept","Removed","Removed"," 1149482","12154834","11991999","12530469","12380520","11608540","12326295","14522949","15493766"," 8248621","14299629"," 9409409","11718611","11780998","12017230"," 9730513","12818775","13689232","10863943","13597578","11273746","15091685","14550340","15886889","13594430","16563335","14929180","12170843","11869105","14488633","15484771","13925995","12938066"," 1535281"
"42","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","383879","434134","545876","513410","554854","555944","NaN","NaN","377178","535979","NaN","745318","298673","2306694","386378","NaN","509002","NaN","NaN","NaN","572969","434897","1428827","NaN","324463","NaN","NaN","NaN","582835","NaN","462718","421005","NaN"
"43","Kept","Kept","Kept","Kept","Removed","Kept","Kept","NaN","56317773","37297969","36883698","64892225","36638113","33579071","51173304","39306615","44266656","36337644","31173432","31129308","33845255","28562436","37432261","73383361","60398378","39172854","41979688","36392449","46529875","73209734","74674936","60782259","75649865","78898799","66515823","54190176","54889820","52156557","63680088","39770079","NaN"
"44","Removed","Kept","Kept","Kept","Kept","Removed","Removed","40393213","33065826","33511278","34314392","38188961","34787994","32521299","26865727","30574135","33478146","33743788","30195655","24348806","36144239","30168566","29168681","34710268","34040707","23357301","26289237","27223141","36018933","32122860","34904029","33616044","33131077","37875141","31867722","36384247","33821778","32562880","35315917","33619297","97739487"
"45","Removed","Removed","Kept","Kept","Kept","Kept","Kept","NaN","35983309","47281024","46354000","47472200","48446551","49846705","41815490","43019144","48166582","47603130","51359344","35595048","33027666","49190035","48419834","35009397","49757527","51002421","46164496","52519900","51993243","46513781","46228052","36219032","48890166","32969134","35071565","53240692","47683273","46932759","47261573","47104257","153045657"
"46","Kept","Kept","Removed","Kept","Kept","Kept","Kept","NaN","31272185","31465215","30188395","30417317","33449839","30514998","NaN","NaN","29781374","30357140","29660632","31841150","30159999","29411642","29933172","28365907","30465832","30548782","NaN","31443098","22698599","27832264","NaN","29789362","25738779","NaN","29131314","29183189","30481348","NaN","30501208","28663418","NaN"
