"Sample"," 4"," 5"," 6"," 7"," 8"," 9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"Class","Blank","QC","QC","QC","Class 3","Class 1","Class 2","Class 1","Class 3","Class 3","QC","Class 4","Class 2","Class 4","Class 3","Class 4","Class 4","QC","Class 1","Class 1","Class 1","Class 1","Class 2","Class 2","QC","Class 3","Class 3","Class 4","Class 4","Class 2","Class 2","QC","QC","Blank"
"3","NaN","9617925","9425986","9699887","9962849","8944586","8324909","6216842","8772321","8872901","9392300","6871934","8492485","8346484","6498097","9352871","11019307","9793699","9312375","4807554","7530629","16044989","7050025","8603028","10362235","8666292","6270629","7111638","9956916","9802246","6167206","9240911","10283643","NaN"
"4","NaN","5141392","4545852","4479761","6302548","5786003","3159951","10593481","7572347","4876451","4856585","8217165","5858817","5218824","1587864","6351694","1508575","5262659","5835400","6310515","5859915","6115135","NaN","7377725","4591340","1106644","4289136","898977","5075922","1294984","11376715","5694937","4754837","NaN"
"6","NaN","5275688","4564401","5182050","7085963","3658967","4139770","6987157","6702373","3754502","5063618","4812917","3960671","5588385","4775679","4777322","7885104","6242429","4828692","8653752","5591831","6459250","6878699","8245043","5483159","7975790","7948010","6068693","3877588","4293913","5676301","5569916","5483344","NaN"
"9","NaN","18716328","18711137","19478791","19087421","14331495","13062323","31223812","29835369","16849640","17421126","18517352","20383826","16758895","14965228","18173938","28757411","18935754","18206058","27440913","14969934","18779165","16367492","24519413","18855958","33512842","28051557","22033000","21822134","15332969","16549325","21015388","19539070","NaN"
"11","NaN","3421946","3357841","3713884","NaN","4622788","3835915","5856344","8926114","5096911","3330888","4651558","3901449","3305730","3042202","3859297","2569267","3482656","4237383","6261334","4256736","2330395","2045303","3390029","3068055","2954636","NaN","1955571","1910967","4336178","5077122","3151423","2713280","NaN"
"12","NaN","10014848","11295770","11428127","11552670","10239481","9042895","6562551","10500551","10548433","11096383","7794895","10622862","10198249","7131521","9684051","12654804","10977334","10439435","5871482","7797985","21994193","7619123","10506217","11545629","8982462","6874083","8646001","10554621","10816708","6325071","10806170","10532495","NaN"
"13","NaN","4214207","4079534","4306936","4032884","2747981","3283400","4542167","4826696","3730864","4061911","3559943","5335586","3954973","5965059","4548034","4226823","3629788","4188626","3131074","3879713","4400061","3476407","2729867","3969408","4645121","3605579","5568467","3992917","4075940","3177245","3603368","3340663","NaN"
"14","NaN","22300652","21852365","22808626","24052298","19531145","20643534","27877370","30078340","18612834","21872117","19635275","18628669","22166652","17025243","19496212","26650465","24794631","21644459","36464407","18938510","30641876","29723703","47274084","23519161","34216437","39233713","28432597","24176519","17854406","31233705","27225939","23162869","NaN"
"17","NaN","7641905","9771958","9236975","7195008","8142377","9483608","8724222","5781270","7352576","7683320","7380469","10203562","6178148","9069741","9195436","6502903","7150719","6570145","6554507","9157549","5852544","7425483","2268494","7061964","4633778","4293845","6422502","6105761","8528900","5705187","6701211","6491453","NaN"
"18","NaN","4364146","4293098","4705270","5760738","4015424","3809240","2883998","2368330","3769291","4721547","3939240","4248930","5787458","4780448","3465539","5701170","4745790","4947047","2867116","4340802","5468098","7579344","4225445","5153294","5966244","5066690","6675457","5574772","3882483","3952150","4291487","5552825","NaN"
"20","   35133079"," 8949876895"," 8772924579"," 9028770135","12858673657"," 4741414202"," 4775748018"," 7057958414"," 9492710808"," 7044393054"," 8525960618"," 7882831113"," 2998937319","11962394511"," 4164786720"," 4471297803"," 9714088554"," 9447208331"," 9307661428","11332601150"," 5134804389"," 9580477845","10541266178","20719042935"," 8811807903","15741517251","17583084152","10020930186","10193410573"," 8403664652"," 5941344481","10181743900"," 8857950937","   39226643"
"22","   2149487"," 543664589"," 535744002"," 546881879"," 781719252"," 285827797"," 290407014"," 428118636"," 576034027"," 428951606"," 520695718"," 479511875"," 182050934"," 730527446"," 253996118"," 271407446"," 593948644"," 577390776"," 564589070"," 688999643"," 315639668"," 585347207"," 646208218","1273332632"," 539526166"," 965828110","1077029018"," 612131976"," 621297934"," 512338854"," 357481916"," 622934785"," 538665563","   2217211"
"23","NaN","3031648","3917234","3852773","2412752","3468709","3747304","2894920","2011219","3028158","2809407","3173578","3880465","2192642","3762612","3904838","2506808","2817474","2415830","2123231","3750048","2270072","2733082","NaN","2715502","1463224","1380319","2437733","2229241","3424415","2047614","2797599","2447098","NaN"
"27","NaN","4397832","4664466","4481370","NaN","4179615","4551007","5348249","6151790","4068696","4865756","3956934","4113162","4134118","3350035","4173993","5530104","5200350","4599120","7497389","3371414","5656195","5630173","4539489","4108693","6689183","7511678","5824902","5124638","3735345","6066499","5386118","4954138","NaN"
"29","NaN","87383223","83943251","92164024","86503855","86087097","77932754","79676543","26530646","71420876","82041627","72690650","73873617","80816546","73696482","80658725","90173535","95250657","80547069","70126337","79326014","93771379","88848538","38310672","87323120","126804900","89886073","85634195","82038987","93174737","36772976","99382407","87255749","101795"
"30","NaN","4165173","4230523","4380753","5905124","3805450","2220277","5652316","3683264","NaN","4189291","5259302","3390269","4307225","3526544","4909839","9671523","4455962","3149369","5789213","3387470","4414308","6129393","4675710","4073649","3660877","NaN","4301163","4744307","3927806","NaN","4230549","4211445","NaN"
"32","NaN","83106805","80991687","82244851","136817723","23028662","39631322","130215474","280584733","21457758","79952081","13442017","58712196","148132315","240194454","101620552","78685220","87038814","46702568","52356272","32029206","221965800","63702554","137649232","84889405","72543233","60812558","41267528","47597897","33583086","37530114","90746325","87145987","NaN"
"33","NaN","115651390","108650661","110364957","107065801","127964996","127854413","158247745","101886623","110284915","105694575","126754936","105580112","84739196","96908678","105532689","100657609","111146029","96041401","143664541","128881216","108158122","100960697","147660935","110406665","125165585","131103260","96165741","90249799","133675894","162408028","115451132","114039947","NaN"
"34","NaN","13176526","13084979","12062257","13530326","15674789","13520370","11024054","12335910","21704033","10891288","9719427","7021147","13684944","8055602","7868097","13104884","14269119","12206588","18906423","13877474","13280506","11257728","28718161","12072706","13380283","17491887","11559729","14818787","9736927","18001768","16003129","12442475","NaN"
"37","NaN","23658229","22174688","22461282","23091166","13641288","15259841","13430039","17958238","13191599","21836352","8538547","18231070","21895050","18078273","15982976","29670033","22258465","14212304","9808560","18014597","22485725","19919338","22471445","21099488","23981178","13526186","22820357","16178723","59707292","12903085","23140721","20681112","NaN"
"39","NaN","13704752","12626422","13381616","16420795","14889642","11101051","8101458","16838080","14505636","13352628","13006660","9658491","17384004","NaN","5816395","17139751","13767939","15679820","8321076","7137846","16625076","15066131","23650034","14188572","19139932","22125602","16452566","16624933","10552805","16283281","14037872","14461167","NaN"
"40","NaN","991816239","982960647","1017969039","1128165333","832773980","605797462","937591914","688868338","746104085","981909701","808276388","553713734","993109945","456714737","650274777","1273029950","1039910273","1018918132","1220794005","931948213","849647419","1294040191","1358221075","1037057540","1350022005","1387549536","1183433926","918545736","928823880","1125312103","1107393291","1057456871","NaN"
"49","957722","34227134","36908068","37239545","35414129","28636513","27013436","17601005","35895857","36185716","34611543","27942644","14489639","44284204","16353712","19394143","38989194","38978233","35609033","27947057","17037266","40796259","57578715","53621938","35460821","44933383","51472544","52734591","37385611","28481515","34738500","38595688","32744433","NaN"
"50","NaN","171031595","171984150","185054452","209613628","110167002","124206377","268262303","311449249","182175972","168505670","157439991","148410534","164112581","83358773","118877725","249186998","173617064","157802489","198934391","107395891","214957901","170019958","375948916","153802035","237431878","251569213","157578500","111444091","94432042","199198634","176433536","153359465","NaN"
"51","NaN","98323582","98497843","104107641","82233610","123358745","171388050","164451432","11674105","175495284","101460920","141249303","80685125","63051083","40141060","68538162","72488867","103276324","66114646","174224205","102969958","91461849","82630768","192728474","102646549","79110844","89687362","72200304","82898917","102616099","124212637","109610502","101242798","NaN"
"53","NaN","762286258","747670259","767882338","630951785","941003628","1400589413","1003318257","732175024","1298741506","745291822","1053147497","767032841","466218141","696885656","705428338","366689117","740894720","465880598","1108673728","805784014","638394436","555737773","611980688","736258232","395378688","461830030","488251803","635391131","858618936","791410465","751380596","751598054","2093979"
"57","NaN","6128662","6436686","6584934","6575187","6484083","5938904","6065095","6501338","6376893","6871125","6431233","6628266","6428724","6259784","6274249","6967581","6362275","6280071","6179205","6059267","6341449","5923793","6914277","6353087","5371780","5650888","6089684","6278308","6007477","6051227","6005438","6072553","NaN"
